Method,Task,AccessUAV,D_total_ms,D_access_ms,D_compute_ms,D_trans_ms,D_return_ms,Substitutions
Importance-based Placement,29,1,198.161198,110.496740,0.013703,58.795348,28.855408,6
Importance-based Placement,30,2,158.838042,65.386627,0.002931,75.957150,17.491333,0
Importance-based Placement,31,3,75.212063,66.508668,0.002931,0.000000,8.700464,0
Importance-based Placement,32,0,187.414328,64.065125,0.014195,101.489817,21.845192,6
Importance-based Placement,33,1,118.658719,65.848332,0.014195,34.372665,18.423527,6
Importance-based Placement,34,2,157.025156,64.649547,0.002948,73.968743,18.403917,0
Importance-based Placement,35,3,71.397396,63.133292,0.002986,0.000000,8.261119,0
Importance-based Placement,36,0,186.208804,62.608638,0.013816,97.148006,26.438344,6
Importance-based Placement,37,1,112.370605,62.643125,0.013816,33.468121,16.245542,6
Importance-based Placement,38,2,149.105315,61.758021,0.002990,72.378017,14.966287,0
Importance-based Placement,39,3,73.734017,65.295874,0.002986,0.000000,8.435157,0
No-similarity Placement,0,0,69.168290,22.400999,0.002920,37.450265,9.314106,0
No-similarity Placement,1,1,58.638771,25.515099,0.003061,27.136315,5.984296,0
No-similarity Placement,2,2,56.756976,23.627972,0.003046,26.246973,6.878986,0
No-similarity Placement,3,3,27.382577,24.182869,0.002972,0.000000,3.196736,0
No-similarity Placement,4,0,77.424166,26.380391,0.003036,43.394751,7.645988,0
No-similarity Placement,5,1,63.837279,27.777419,0.003030,29.307220,6.749610,0
No-similarity Placement,6,2,61.412305,25.403092,0.003004,28.235380,7.770829,0
No-similarity Placement,7,3,30.534020,26.984856,0.002913,0.000000,3.546250,0
No-similarity Placement,8,0,125.339369,40.783127,0.002902,70.739389,13.813951,0
No-similarity Placement,9,1,52.852382,22.708135,0.002920,23.879957,6.261370,0
No-similarity Placement,10,2,56.972666,23.370234,0.002990,27.440017,6.159425,0
No-similarity Placement,11,3,35.530070,31.325791,0.002976,0.000000,4.201303,0
No-similarity Placement,12,0,78.806189,25.003498,0.002932,43.394751,10.405008,0
No-similarity Placement,13,1,65.026829,29.321397,0.002954,29.669037,6.033441,0
No-similarity Placement,14,2,65.065506,27.738215,0.002971,31.416832,5.907489,0
No-similarity Placement,15,3,20.214754,17.740737,0.002949,0.000000,2.471068,0
No-similarity Placement,16,0,55.970409,17.740569,0.002964,30.911330,7.315547,0
No-similarity Placement,17,1,60.622126,26.521251,0.002900,27.859950,6.238025,0
No-similarity Placement,18,2,46.963182,19.305028,0.003002,22.667841,4.987311,0
No-similarity Placement,19,3,21.076467,18.648700,0.002990,0.000000,2.424777,0
No-similarity Placement,20,0,225.503487,71.987294,0.002973,125.428665,28.084555,0
No-similarity Placement,21,1,163.093442,70.300201,0.002992,74.172593,18.617656,0
No-similarity Placement,22,2,176.639599,72.497647,0.002973,83.910778,20.228201,0
No-similarity Placement,23,3,79.422291,70.274996,0.002992,0.000000,9.144303,0
No-similarity Placement,24,0,223.604724,71.100551,0.002992,123.050870,29.450311,0
No-similarity Placement,25,1,264.087414,116.693148,0.002973,116.505244,30.886048,0
No-similarity Placement,26,2,264.790045,109.542798,0.002986,128.053415,27.190847,0
No-similarity Placement,27,3,124.826620,110.522177,0.002973,0.000000,14.301469,0
No-similarity Placement,28,0,339.378681,108.553041,0.002986,190.223567,40.599086,0
No-similarity Placement,29,1,256.945817,110.496740,0.002973,117.590697,28.855408,0
No-similarity Placement,30,2,158.838042,65.386627,0.002931,75.957150,17.491333,0
No-similarity Placement,31,3,75.212063,66.508668,0.002931,0.000000,8.700464,0
No-similarity Placement,32,0,197.075150,64.065125,0.002937,111.161897,21.845192,0
No-similarity Placement,33,1,153.020126,65.848332,0.002937,68.745330,18.423527,0
No-similarity Placement,34,2,157.025156,64.649547,0.002948,73.968743,18.403917,0
No-similarity Placement,35,3,71.397396,63.133292,0.002986,0.000000,8.261119,0
No-similarity Placement,36,0,195.456275,62.608638,0.002986,106.406308,26.438344,0
No-similarity Placement,37,1,145.827896,62.643125,0.002986,66.936243,16.245542,0
No-similarity Placement,38,2,149.105315,61.758021,0.002990,72.378017,14.966287,0
No-similarity Placement,39,3,73.734017,65.295874,0.002986,0.000000,8.435157,0
