Method,Expert,UAV,Deployed
Importance-based Placement,2,1,0
Importance-based Placement,2,2,0
Importance-based Placement,2,3,0
Importance-based Placement,3,0,0
Importance-based Placement,3,1,0
Importance-based Placement,3,2,0
Importance-based Placement,3,3,1
Importance-based Placement,4,0,1
Importance-based Placement,4,1,0
Importance-based Placement,4,2,0
Importance-based Placement,4,3,0
Importance-based Placement,5,0,1
Importance-based Placement,5,1,0
Importance-based Placement,5,2,0
Importance-based Placement,5,3,0
Importance-based Placement,6,0,0
Importance-based Placement,6,1,0
Importance-based Placement,6,2,1
Importance-based Placement,6,3,0
Importance-based Placement,7,0,1
Importance-based Placement,7,1,0
Importance-based Placement,7,2,0
Importance-based Placement,7,3,0
Importance-based Placement,8,0,1
Importance-based Placement,8,1,0
Importance-based Placement,8,2,0
Importance-based Placement,8,3,0
Importance-based Placement,9,0,1
Importance-based Placement,9,1,0
Importance-based Placement,9,2,0
Importance-based Placement,9,3,0
Importance-based Placement,10,0,1
Importance-based Placement,10,1,0
Importance-based Placement,10,2,0
Importance-based Placement,10,3,0
Importance-based Placement,11,0,0
Importance-based Placement,11,1,0
Importance-based Placement,11,2,1
Importance-based Placement,11,3,0
Importance-based Placement,12,0,1
Importance-based Placement,12,1,0
Importance-based Placement,12,2,0
Importance-based Placement,12,3,0
Importance-based Placement,13,0,0
Importance-based Placement,13,1,0
Importance-based Placement,13,2,1
Importance-based Placement,13,3,0
Importance-based Placement,14,0,0
Importance-based Placement,14,1,0
Importance-based Placement,14,2,1
Importance-based Placement,14,3,0
Importance-based Placement,15,0,1
Importance-based Placement,15,1,0
Importance-based Placement,15,2,0
Importance-based Placement,15,3,0
Importance-based Placement,16,0,0
Importance-based Placement,16,1,0
Importance-based Placement,16,2,0
Importance-based Placement,16,3,1
Importance-based Placement,17,0,0
Importance-based Placement,17,1,0
Importance-based Placement,17,2,0
Importance-based Placement,17,3,1
Importance-based Placement,18,0,1
Importance-based Placement,18,1,0
Importance-based Placement,18,2,0
Importance-based Placement,18,3,0
Importance-based Placement,19,0,0
Importance-based Placement,19,1,0
Importance-based Placement,19,2,0
Importance-based Placement,19,3,1
Importance-based Placement,20,0,0
Importance-based Placement,20,1,0
Importance-based Placement,20,2,0
Importance-based Placement,20,3,1
Importance-based Placement,21,0,1
Importance-based Placement,21,1,0
Importance-based Placement,21,2,0
Importance-based Placement,21,3,0
Importance-based Placement,22,0,0
Importance-based Placement,22,1,0
Importance-based Placement,22,2,0
Importance-based Placement,22,3,1
Importance-based Placement,23,0,1
Importance-based Placement,23,1,0
Importance-based Placement,23,2,0
Importance-based Placement,23,3,0
Importance-based Placement,24,0,0
Importance-based Placement,24,1,0
Importance-based Placement,24,2,1
Importance-based Placement,24,3,0
Importance-based Placement,25,0,1
Importance-based Placement,25,1,0
Importance-based Placement,25,2,0
Importance-based Placement,25,3,0
Importance-based Placement,26,0,1
Importance-based Placement,26,1,0
Importance-based Placement,26,2,0
Importance-based Placement,26,3,0
Importance-based Placement,27,0,0
Importance-based Placement,27,1,1
Importance-based Placement,27,2,0
Importance-based Placement,27,3,0
Importance-based Placement,28,0,0
Importance-based Placement,28,1,0
Importance-based Placement,28,2,1
Importance-based Placement,28,3,0
Importance-based Placement,29,0,0
Importance-based Placement,29,1,1
Importance-based Placement,29,2,0
Importance-based Placement,29,3,0
Importance-based Placement,30,0,0
Importance-based Placement,30,1,0
Importance-based Placement,30,2,1
Importance-based Placement,30,3,0
Importance-based Placement,31,0,0
Importance-based Placement,31,1,1
Importance-based Placement,31,2,0
Importance-based Placement,31,3,0
Importance-based Placement,32,0,0
Importance-based Placement,32,1,0
Importance-based Placement,32,2,1
Importance-based Placement,32,3,0
Importance-based Placement,33,0,0
Importance-based Placement,33,1,0
Importance-based Placement,33,2,1
Importance-based Placement,33,3,0
Importance-based Placement,34,0,0
Importance-based Placement,34,1,1
Importance-based Placement,34,2,0
Importance-based Placement,34,3,0
Importance-based Placement,35,0,0
Importance-based Placement,35,1,1
Importance-based Placement,35,2,0
Importance-based Placement,35,3,0
Importance-based Placement,36,0,0
Importance-based Placement,36,1,1
Importance-based Placement,36,2,0
Importance-based Placement,36,3,0
Importance-based Placement,37,0,0
Importance-based Placement,37,1,0
Importance-based Placement,37,2,1
Importance-based Placement,37,3,0
Importance-based Placement,38,0,0
Importance-based Placement,38,1,1
Importance-based Placement,38,2,0
Importance-based Placement,38,3,0
Importance-based Placement,39,0,0
Importance-based Placement,39,1,0
Importance-based Placement,39,2,1
Importance-based Placement,39,3,0
Importance-based Placement,40,0,0
Importance-based Placement,40,1,1
Importance-based Placement,40,2,0
Importance-based Placement,40,3,0
Importance-based Placement,41,0,0
Importance-based Placement,41,1,1
Importance-based Placement,41,2,0
Importance-based Placement,41,3,0
Importance-based Placement,42,0,0
Importance-based Placement,42,1,1
Importance-based Placement,42,2,0
Importance-based Placement,42,3,0
Importance-based Placement,43,0,0
Importance-based Placement,43,1,1
Importance-based Placement,43,2,0
Importance-based Placement,43,3,0
Importance-based Placement,44,0,0
Importance-based Placement,44,1,1
Importance-based Placement,44,2,0
Importance-based Placement,44,3,0
Importance-based Placement,45,0,0
Importance-based Placement,45,1,0
Importance-based Placement,45,2,0
Importance-based Placement,45,3,1
Importance-based Placement,46,0,0
Importance-based Placement,46,1,0
Importance-based Placement,46,2,0
Importance-based Placement,46,3,1
Importance-based Placement,47,0,0
Importance-based Placement,47,1,1
Importance-based Placement,47,2,0
Importance-based Placement,47,3,0
Importance-based Placement,48,0,0
Importance-based Placement,48,1,0
Importance-based Placement,48,2,0
Importance-based Placement,48,3,0
Importance-based Placement,49,0,0
Importance-based Placement,49,1,1
Importance-based Placement,49,2,0
Importance-based Placement,49,3,0
Importance-based Placement,50,0,0
Importance-based Placement,50,1,0
Importance-based Placement,50,2,0
Importance-based Placement,50,3,0
Importance-based Placement,51,0,0
Importance-based Placement,51,1,0
Importance-based Placement,51,2,0
Importance-based Placement,51,3,1
Importance-based Placement,52,0,0
Importance-based Placement,52,1,0
Importance-based Placement,52,2,0
Importance-based Placement,52,3,1
Importance-based Placement,53,0,0
Importance-based Placement,53,1,0
Importance-based Placement,53,2,1
Importance-based Placement,53,3,0
Importance-based Placement,54,0,0
Importance-based Placement,54,1,0
Importance-based Placement,54,2,0
Importance-based Placement,54,3,0
Importance-based Placement,55,0,0
Importance-based Placement,55,1,0
Importance-based Placement,55,2,0
Importance-based Placement,55,3,0
Importance-based Placement,56,0,0
Importance-based Placement,56,1,0
Importance-based Placement,56,2,0
Importance-based Placement,56,3,0
Importance-based Placement,57,0,0
Importance-based Placement,57,1,0
Importance-based Placement,57,2,0
Importance-based Placement,57,3,0
Importance-based Placement,58,0,0
Importance-based Placement,58,1,0
Importance-based Placement,58,2,0
Importance-based Placement,58,3,0
Importance-based Placement,59,0,0
Importance-based Placement,59,1,0
Importance-based Placement,59,2,0
Importance-based Placement,59,3,0
Importance-based Placement,60,0,0
Importance-based Placement,60,1,0
Importance-based Placement,60,2,0
Importance-based Placement,60,3,1
Importance-based Placement,61,0,0
Importance-based Placement,61,1,0
Importance-based Placement,61,2,0
Importance-based Placement,61,3,0
Importance-based Placement,62,0,0
Importance-based Placement,62,1,1
Importance-based Placement,62,2,0
Importance-based Placement,62,3,0
Importance-based Placement,63,0,0
Importance-based Placement,63,1,0
Importance-based Placement,63,2,1
Importance-based Placement,63,3,0
Importance-based Placement,64,0,0
Importance-based Placement,64,1,0
Importance-based Placement,64,2,0
Importance-based Placement,64,3,0
Importance-based Placement,65,0,0
Importance-based Placement,65,1,0
Importance-based Placement,65,2,0
Importance-based Placement,65,3,0
Importance-based Placement,66,0,0
Importance-based Placement,66,1,0
Importance-based Placement,66,2,0
Importance-based Placement,66,3,0
Importance-based Placement,67,0,0
Importance-based Placement,67,1,1
Importance-based Placement,67,2,0
Importance-based Placement,67,3,0
Importance-based Placement,68,0,0
Importance-based Placement,68,1,0
Importance-based Placement,68,2,1
Importance-based Placement,68,3,0
Importance-based Placement,69,0,0
Importance-based Placement,69,1,0
Importance-based Placement,69,2,0
Importance-based Placement,69,3,1
Importance-based Placement,70,0,0
Importance-based Placement,70,1,0
Importance-based Placement,70,2,0
Importance-based Placement,70,3,0
Importance-based Placement,71,0,0
Importance-based Placement,71,1,0
Importance-based Placement,71,2,1
Importance-based Placement,71,3,0
Importance-based Placement,72,0,0
Importance-based Placement,72,1,0
Importance-based Placement,72,2,0
Importance-based Placement,72,3,0
Importance-based Placement,73,0,0
Importance-based Placement,73,1,0
Importance-based Placement,73,2,0
Importance-based Placement,73,3,0
Importance-based Placement,74,0,0
Importance-based Placement,74,1,0
Importance-based Placement,74,2,1
Importance-based Placement,74,3,0
Importance-based Placement,75,0,0
Importance-based Placement,75,1,0
Importance-based Placement,75,2,0
Importance-based Placement,75,3,0
Importance-based Placement,76,0,0
Importance-based Placement,76,1,0
Importance-based Placement,76,2,0
Importance-based Placement,76,3,1
Importance-based Placement,77,0,0
Importance-based Placement,77,1,0
Importance-based Placement,77,2,1
Importance-based Placement,77,3,0
Importance-based Placement,78,0,0
Importance-based Placement,78,1,0
Importance-based Placement,78,2,0
Importance-based Placement,78,3,1
Importance-based Placement,79,0,0
Importance-based Placement,79,1,1
Importance-based Placement,79,2,0
Importance-based Placement,79,3,0
Importance-based Placement,80,0,0
Importance-based Placement,80,1,0
Importance-based Placement,80,2,0
Importance-based Placement,80,3,1
Importance-based Placement,81,0,0
Importance-based Placement,81,1,0
Importance-based Placement,81,2,0
Importance-based Placement,81,3,1
Importance-based Placement,82,0,0
Importance-based Placement,82,1,0
Importance-based Placement,82,2,0
Importance-based Placement,82,3,0
Importance-based Placement,83,0,0
Importance-based Placement,83,1,0
Importance-based Placement,83,2,0
Importance-based Placement,83,3,0
Importance-based Placement,84,0,0
Importance-based Placement,84,1,0
Importance-based Placement,84,2,0
Importance-based Placement,84,3,0
Importance-based Placement,85,0,0
