Scenario,Seed,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
synthetic_hotspot_v2,3,placement_profile,compute_heavy,8887.084143,117,5,33.631725,147.525962,40.531883,0.487535,True
synthetic_hotspot_v2,3,placement_profile,network_heavy,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,3,placement_profile,memory_heavy,9468.199998,117,5,33.631725,160.972497,41.646444,0.454333,True
synthetic_hotspot_v2,4,redundancy_nu,0,10315.724299,124,7,37.821053,182.626347,37.031041,0.414666,True
synthetic_hotspot_v2,4,redundancy_nu,0.1,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.3,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.5,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,redundancy_nu,0.7,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,scheduling_lambda,0,10293.834082,124,7,37.821053,182.666089,36.448337,0.410374,True
synthetic_hotspot_v2,4,scheduling_lambda,0.05,10293.834082,124,7,37.821053,182.666089,36.448337,0.410374,True
synthetic_hotspot_v2,4,scheduling_lambda,0.1,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,scheduling_lambda,0.2,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,scheduling_lambda,0.4,11057.090244,98,7,37.821053,214.410157,23.787667,0.408379,True
synthetic_hotspot_v2,4,remote_eta,0,10664.562475,123,7,37.821053,194.957349,33.454398,0.381262,True
synthetic_hotspot_v2,4,remote_eta,0.25,10664.562475,123,7,37.821053,194.957349,33.454398,0.381262,True
synthetic_hotspot_v2,4,remote_eta,0.5,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,remote_eta,0.75,9588.312196,126,6,37.821053,169.430249,32.003030,0.453472,True
synthetic_hotspot_v2,4,remote_eta,1,9588.312196,126,6,37.821053,169.430249,32.003030,0.453472,True
synthetic_hotspot_v2,4,placement_profile,default,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,placement_profile,demand_heavy,10664.562475,123,7,37.821053,194.957349,33.454398,0.381262,True
synthetic_hotspot_v2,4,placement_profile,compute_heavy,9588.312196,126,6,37.821053,169.430249,32.003030,0.453472,True
synthetic_hotspot_v2,4,placement_profile,network_heavy,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
synthetic_hotspot_v2,4,placement_profile,memory_heavy,10317.251519,123,7,37.821053,183.748894,35.950967,0.410374,True
real_moe_uav,0,redundancy_nu,0,4052.961226,308,49,51.481075,0.006505,37.133997,12.702453,True
real_moe_uav,0,redundancy_nu,0.1,3910.776106,341,49,51.481075,0.008194,33.577681,12.702453,True
real_moe_uav,0,redundancy_nu,0.3,3790.833896,384,49,51.481075,0.050826,32.402480,10.836466,True
real_moe_uav,0,redundancy_nu,0.5,3803.139034,383,49,51.481075,0.052359,32.611612,10.933429,True
real_moe_uav,0,redundancy_nu,0.7,3966.799105,377,49,51.481075,0.055918,34.737873,12.895111,True
real_moe_uav,0,scheduling_lambda,0,3363.433313,401,49,51.481075,0.049305,21.112687,11.442765,True
real_moe_uav,0,scheduling_lambda,0.05,3743.062289,386,49,51.481075,0.050598,31.243578,10.801306,True
real_moe_uav,0,scheduling_lambda,0.1,3790.833896,384,49,51.481075,0.050826,32.402480,10.836466,True
real_moe_uav,0,scheduling_lambda,0.2,4087.715293,335,49,51.481075,0.042759,39.339895,11.329154,True
real_moe_uav,0,scheduling_lambda,0.4,5938.761244,269,49,51.481075,0.027214,84.789934,12.170807,True
real_moe_uav,0,remote_eta,0,3780.006808,373,49,51.481075,0.051404,32.363911,10.603780,True
real_moe_uav,0,remote_eta,0.25,3790.853946,384,49,51.481075,0.051327,32.402480,10.836466,True
real_moe_uav,0,remote_eta,0.5,3790.833896,384,49,51.481075,0.050826,32.402480,10.836466,True
real_moe_uav,0,remote_eta,0.75,3790.869912,385,49,51.481075,0.051726,32.402480,10.836466,True
real_moe_uav,0,remote_eta,1,3773.089297,388,49,51.481075,0.051643,31.958048,10.836466,True
real_moe_uav,0,placement_profile,default,3790.833896,384,49,51.481075,0.050826,32.402480,10.836466,True
real_moe_uav,0,placement_profile,demand_heavy,3570.870304,374,49,51.481075,0.050765,25.355965,12.383952,True
real_moe_uav,0,placement_profile,compute_heavy,3750.498905,383,49,51.481075,0.052880,31.824502,10.404015,True
real_moe_uav,0,placement_profile,network_heavy,3570.870304,374,49,51.481075,0.050765,25.355965,12.383952,True
