Scenario,Sweep,Value,n,D_total_ms_mean,D_total_ms_std,D_total_ms_min,D_total_ms_max,Substitutions_mean,Substitutions_std,Substitutions_min,Substitutions_max,Deployments_mean,Deployments_std,Deployments_min,Deployments_max,AvgAccess_ms_mean,AvgAccess_ms_std,AvgAccess_ms_min,AvgAccess_ms_max,AvgCompute_ms_mean,AvgCompute_ms_std,AvgCompute_ms_min,AvgCompute_ms_max,AvgTrans_ms_mean,AvgTrans_ms_std,AvgTrans_ms_min,AvgTrans_ms_max,AvgReturn_ms_mean,AvgReturn_ms_std,AvgReturn_ms_min,AvgReturn_ms_max,Feasible_rate
synthetic_hotspot_v2,redundancy_nu,0.3,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,redundancy_nu,0.5,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,redundancy_nu,0.7,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.200000,1.095445,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,remote_eta,0,5,9948.367089,748.762818,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.200000,0.836660,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,174.088924,17.011882,159.135802,194.957349,39.655616,5.455814,33.454398,44.891032,0.401513,0.033285,0.366608,0.454333,1.000000
synthetic_hotspot_v2,remote_eta,0.25,5,9948.367089,748.762818,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.200000,0.836660,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,174.088924,17.011882,159.135802,194.957349,39.655616,5.455814,33.454398,44.891032,0.401513,0.033285,0.366608,0.454333,1.000000
synthetic_hotspot_v2,remote_eta,0.5,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,remote_eta,0.75,5,9641.930358,736.262342,8859.417549,10857.891738,115.400000,6.767570,108.000000,126.000000,6.000000,0.000000,6.000000,6.000000,34.563125,2.365060,32.169127,37.821053,164.503312,16.870195,147.271536,189.948377,41.549907,12.871365,24.538615,54.019424,0.431916,0.048348,0.386130,0.506255,1.000000
synthetic_hotspot_v2,remote_eta,1,5,9696.599080,348.190761,9417.157628,10288.755364,115.400000,6.767570,108.000000,126.000000,6.000000,0.000000,6.000000,6.000000,34.563125,2.365060,32.169127,37.821053,161.728351,12.386189,147.271536,177.951988,45.682761,8.716498,32.003030,54.019424,0.440741,0.041061,0.401769,0.506255,1.000000
synthetic_hotspot_v2,scheduling_lambda,0,5,9874.221410,674.816037,9286.973730,10857.891738,115.000000,6.000000,108.000000,124.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.630672,13.833638,159.135802,189.948377,40.254403,4.719705,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,scheduling_lambda,0.05,5,9874.221410,674.816037,9286.973730,10857.891738,115.000000,6.000000,108.000000,124.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.630672,13.833638,159.135802,189.948377,40.254403,4.719705,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,scheduling_lambda,0.1,5,9878.904898,678.527440,9286.973730,10857.891738,114.800000,5.630275,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,171.847233,14.056266,159.135802,189.948377,40.154929,4.824065,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,scheduling_lambda,0.2,5,9892.556979,668.713449,9286.973730,10857.891738,114.400000,5.770615,108.000000,123.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,172.474058,13.402372,160.972497,189.948377,39.869407,4.569329,34.208012,44.891032,0.407335,0.031347,0.366608,0.454333,1.000000
synthetic_hotspot_v2,scheduling_lambda,0.4,5,10215.592147,802.891772,9286.973730,11057.090244,106.000000,9.300538,95.000000,117.000000,6.400000,0.894427,5.000000,7.000000,34.563125,2.365060,32.169127,37.821053,183.934320,21.560007,160.972497,214.410157,36.483257,8.149595,23.787667,44.891032,0.409102,0.031120,0.366608,0.454333,1.000000
