compute_window_s,seed,method,feasible,D_total_ms,D_per_task_ms,substitutions,deployments,avg_D_access_ms,avg_D_compute_ms,avg_D_trans_ms,avg_D_return_ms
9.000000,3,Random Placement,1,16961.097103,424.027428,44.000000,5.000000,33.631725,317.291813,72.474247,0.629643
9.000000,3,Importance-based Placement,1,18618.060113,465.451503,26.000000,5.000000,33.631725,375.658585,55.590022,0.571171
9.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
9.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
9.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
9.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
9.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
10.000000,0,Proposed,1,9286.973730,232.174343,108.000000,7.000000,32.169127,165.430597,34.208012,0.366608
10.000000,0,Random Placement,1,10452.909683,261.322742,108.000000,7.000000,32.169127,170.664818,57.920424,0.568373
10.000000,0,Importance-based Placement,1,10036.427991,250.910700,108.000000,7.000000,32.169127,172.317463,46.035587,0.388523
10.000000,0,No-similarity Placement,1,19541.619017,488.540475,0.000000,4.000000,32.169127,414.660265,41.334628,0.376456
10.000000,1,Proposed,1,10857.891738,271.447293,112.000000,6.000000,36.202930,189.948377,44.891032,0.404955
10.000000,1,Random Placement,1,13108.389913,327.709748,77.000000,6.000000,36.202930,243.531376,47.524677,0.450765
10.000000,1,Importance-based Placement,1,13657.490789,341.437270,77.000000,6.000000,36.202930,250.573090,54.229817,0.431433
10.000000,1,No-similarity Placement,1,20027.065232,500.676631,0.000000,4.000000,36.202930,419.177714,44.891032,0.404955
10.000000,2,Proposed,1,9464.207504,236.605188,114.000000,7.000000,32.990788,159.135802,44.078192,0.400405
10.000000,2,Random Placement,1,9897.466332,247.436658,114.000000,7.000000,32.990788,153.585900,60.329150,0.530819
