experiment,value,num_uavs,num_tasks,area_size,num_experts,memory_scale,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_D_per_task_ms,std_D_per_task_ms,mean_runtime_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms,mean_Deployments
full_scale_area,240.000000,10,60,240.000000,8,1.000000,Random Placement,1.000000,0,12557.856949,2855.639829,209.297616,47.593997,8.548160,160.800000,147.315460,27.390498,20.200000
full_scale_area,240.000000,10,60,240.000000,8,1.000000,Importance-based Placement,1.000000,0,12895.735886,2260.146397,214.928931,37.669107,8.280480,154.000000,152.955817,27.411503,18.200000
full_scale_area,240.000000,10,60,240.000000,8,1.000000,No-similarity Placement,1.000000,0,23468.213029,1751.479941,391.136884,29.191332,5.728700,0.000000,324.495661,32.077950,10.000000
full_scale_area,500.000000,20,120,500.000000,16,2.083333,Proposed,1.000000,0,20003.320569,374.153133,166.694338,3.117943,182.520780,360.000000,129.916982,2.257737,149.200000
full_scale_area,500.000000,20,120,500.000000,16,2.083333,Random Placement,0.200000,4,23378.748862,0.000000,194.822907,0.000000,34.100920,367.000000,130.718269,31.101783,98.000000
full_scale_area,500.000000,20,120,500.000000,16,2.083333,Importance-based Placement,0.400000,3,21771.519010,72.984843,181.429325,0.608207,32.559860,349.000000,136.619319,13.625453,87.500000
full_scale_area,500.000000,20,120,500.000000,16,2.083333,No-similarity Placement,0.000000,5,inf,nan,inf,nan,33.665660,inf,332.664246,32.192978,inf
full_scale_area,1000.000000,40,240,1000.000000,24,4.166667,Proposed,1.000000,0,41673.388619,955.903286,173.639119,3.982930,2631.258780,729.800000,135.350299,0.150322,527.000000
full_scale_area,1000.000000,40,240,1000.000000,24,4.166667,Random Placement,0.000000,5,inf,nan,inf,nan,103.987820,inf,142.305356,37.965050,inf
full_scale_area,1000.000000,40,240,1000.000000,24,4.166667,Importance-based Placement,0.200000,4,41988.282339,0.000000,174.951176,0.000000,99.533940,728.000000,135.394140,5.032904,337.000000
full_scale_area,1000.000000,40,240,1000.000000,24,4.166667,No-similarity Placement,0.000000,5,inf,nan,inf,nan,430.706720,inf,inf,inf,inf
expert_count,8.000000,10,80,240.000000,8,1.000000,Proposed,1.000000,0,13306.646844,585.275546,166.333086,7.315944,12.019700,237.600000,118.822793,13.214710,20.000000
expert_count,8.000000,10,80,240.000000,8,1.000000,Random Placement,1.000000,0,14491.667563,813.716047,181.145845,10.171451,10.988220,237.600000,122.054425,24.756404,20.600000
expert_count,8.000000,10,80,240.000000,8,1.000000,Importance-based Placement,1.000000,0,17406.826497,2905.489745,217.585331,36.318622,10.394920,200.400000,156.468229,26.790428,18.200000
expert_count,8.000000,10,80,240.000000,8,1.000000,No-similarity Placement,1.000000,0,30834.407667,1986.063377,385.430096,24.825792,7.000420,0.000000,321.410381,29.691791,10.000000
expert_count,12.000000,10,80,240.000000,12,1.000000,Proposed,1.000000,0,13484.768251,511.239717,168.559603,6.390496,13.581820,239.400000,122.570536,11.649840,25.800000
